gene;2h;6h;16h;24h;48h;72h;;;;;;;;;
LOC85028;33,66;224,86;104,93;196,82;110,58;73,64;;;;;;;;;
ADK;77,95;97,18;43,88;19,48;15,11;11,35;;;;;;;;;
H2BFB;126,11;103,67;101,37;44,93;106,83;245,55;;;;;;;;;
RAB6KIFL;73,40;51,24;35,08;46,80;28,93;14,05;;;;;;;;;
ADK;74,97;91,77;53,73;21,18;24,92;21,58;;;;;;;;;
NMI;101,45;98,92;121,62;243,50;144,04;131,32;;;;;;;;;
UBE2C;96,28;78,18;40,41;34,45;21,80;8,85;;;;;;;;;
UBE2C;97,45;76,38;40,68;34,76;21,78;9,30;;;;;;;;;
UBE2C;99,05;79,01;40,56;33,90;21,36;9,49;;;;;;;;;
UBE2C;96,25;76,90;40,88;34,08;21,86;9,00;;;;;;;;;
UBE2C;97,63;76,69;40,29;34,46;21,37;9,03;;;;;;;;;
UBE2C;99,32;80,10;39,83;34,06;22,99;9,42;;;;;;;;;
UBE2C;93,08;78,16;40,40;34,43;21,40;8,86;;;;;;;;;
GABARAPL3;83,71;126,08;164,26;394,98;145,54;108,83;;;;;;;;;
MCM6;77,35;73,87;33,64;87,73;33,08;17,47;;;;;;;;;
MGLL;149,91;92,33;45,63;23,01;27,08;24,92;;;;;;;;;
MGC4308;131,12;126,70;49,08;14,79;23,22;17,67;;;;;;;;;
MACMARCKS;109,34;439,06;410,25;219,58;76,33;63,80;;;;;;;;;
BIRC5;75,68;89,15;46,31;35,47;17,83;8,07;;;;;;;;;
ID1;129,34;103,61;15,54;179,07;42,84;26,05;;;;;;;;;
FOS;818,74;244,82;131,58;104,45;93,20;74,03;;;;;;;;;
H2AFO;146,34;185,63;195,64;200,60;323,56;725,92;;;;;;;;;
H2BFR;154,68;134,23;112,44;56,58;136,34;216,02;;;;;;;;;
FBN1;57,21;31,70;12,61;11,03;7,67;4,17;;;;;;;;;
H2BFE;128,22;105,10;117,10;49,47;102,78;231,34;;;;;;;;;
LTBP1;129,98;84,83;53,95;19,16;15,59;10,17;;;;;;;;;
CTGF;836,01;141,67;54,58;102,48;118,76;117,81;;;;;;;;;
CCNB1;101,78;56,80;34,93;33,00;20,97;13,58;;;;;;;;;
NMI;102,90;95,03;132,78;233,14;143,68;123,47;;;;;;;;;
UBE2C;99,55;79,70;40,49;34,40;21,63;8,94;;;;;;;;;
UBE2C;95,23;75,12;40,14;34,58;21,82;9,26;;;;;;;;;
UBE2C;101,47;79,39;42,30;34,13;23,15;9,60;;;;;;;;;
MCM7;120,93;117,04;69,51;71,77;49,73;21,87;;;;;;;;;
MCM3;83,35;54,35;15,97;65,69;38,40;19,28;;;;;;;;;
HMG2;47,60;80,90;48,34;68,52;28,63;11,88;;;;;;;;;
TXNIP;966,06;1720,81;561,86;1690,59;229,18;114,05;;;;;;;;;
ID2;147,36;213,03;65,03;196,57;72,56;45,68;;;;;;;;;
DKFZp434K1210;22,27;18,60;15,80;48,64;21,57;12,13;;;;;;;;;
SPRY2;65,85;85,89;17,78;49,96;76,22;53,21;;;;;;;;;
RAB6KIFL;73,65;51,36;32,22;46,11;27,91;13,63;;;;;;;;;
RAB6KIFL;74,37;51,48;34,41;45,65;29,12;14,88;;;;;;;;;
NMI;96,83;97,51;126,40;241,10;152,73;127,61;;;;;;;;;
NMI;95,97;99,16;129,82;238,49;134,46;134,59;;;;;;;;;
SFRS2;103,79;171,30;57,58;44,98;48,90;33,68;;;;;;;;;
I_961971;107,70;109,49;158,05;248,52;123,25;155,45;;;;;;;;;
I_1000547;82,42;291,16;126,62;114,99;65,47;50,59;;;;;;;;;
H2BFG;102,69;87,54;97,78;44,77;98,84;191,00;;;;;;;;;
I_958102;117,20;49,58;28,50;24,75;24,93;24,49;;;;;;;;;
GSS;120,59;106,93;114,92;152,05;209,23;278,41;;;;;;;;;
I_929725;50,33;70,49;66,95;160,91;113,72;86,58;;;;;;;;;
TIMP4;165,73;123,52;150,87;209,43;549,74;788,76;;;;;;;;;
MGC2217;81,74;391,06;322,59;276,33;113,50;76,07;;;;;;;;;
PRSS11;75,91;90,10;86,43;76,17;32,89;17,29;;;;;;;;;
MSN;149,60;71,84;47,10;38,46;66,03;59,08;;;;;;;;;
CYR61;967,47;142,76;83,72;97,22;183,14;142,96;;;;;;;;;
PTD002;55,13;99,41;34,33;22,11;22,05;8,95;;;;;;;;;
CDKN3;57,29;82,73;30,75;32,09;18,82;10,18;;;;;;;;;
TRA1;67,21;100,79;155,01;127,50;57,23;47,87;;;;;;;;;
FLJ21016;92,33;24,03;54,33;130,03;140,79;110,90;;;;;;;;;
RFC4;74,36;78,48;59,13;93,34;47,09;35,40;;;;;;;;;
EGR1;1694,72;185,13;102,09;216,27;77,07;52,01;;;;;;;;;
RNASE3L;129,80;68,85;38,67;65,03;65,57;55,46;;;;;;;;;
MGC16386;97,63;191,14;114,20;97,22;57,13;17,59;;;;;;;;;
H2AFA;137,18;165,25;183,79;151,12;195,32;555,90;;;;;;;;;
p100;147,82;77,57;61,63;17,18;20,53;13,45;;;;;;;;;
GPR30;101,87;199,93;172,97;132,62;73,31;76,91;;;;;;;;;
ESDN;91,56;61,82;37,75;14,39;15,43;14,13;;;;;;;;;
NFIB;107,96;41,31;20,75;32,14;45,67;28,95;;;;;;;;;
KIAA1695;120,39;29,49;15,43;14,73;29,06;12,39;;;;;;;;;
SEC24D;69,56;14,05;21,04;57,34;48,05;37,89;;;;;;;;;
TRIM33;96,11;38,77;45,47;97,15;87,37;80,93;;;;;;;;;
I_1109594;124,20;65,15;18,34;27,66;57,19;36,70;;;;;;;;;
RAB6KIFL;72,78;50,21;30,75;46,57;30,80;14,37;;;;;;;;;
HIF1A;82,77;30,91;17,66;49,71;76,67;55,07;;;;;;;;;
TPARL;41,49;43,01;26,32;83,05;56,60;48,11;;;;;;;;;
CKS1;65,96;107,75;63,97;50,17;35,64;22,88;;;;;;;;;
I_929737;109,63;84,70;37,58;37,16;48,13;45,49;;;;;;;;;
TMSNB;45,18;125,86;87,76;96,13;52,39;31,26;;;;;;;;;
NMI;93,24;93,47;124,81;248,29;142,51;124,31;;;;;;;;;
I_960223;76,74;62,74;32,17;49,66;27,24;10,36;;;;;;;;;
PTPRK;117,51;47,79;15,95;17,70;27,14;15,43;;;;;;;;;
FLJ20373;92,63;56,11;19,32;29,76;33,92;22,45;;;;;;;;;
CCNE1;102,66;307,95;128,58;138,16;114,85;71,65;;;;;;;;;
HIF1A;88,37;32,48;17,01;51,24;76,45;59,87;;;;;;;;;
GADD45A;204,59;686,11;842,63;469,98;560,26;308,79;;;;;;;;;
TUBB5;138,80;106,11;66,73;39,53;38,86;46,23;;;;;;;;;
HIF1A;82,35;30,76;17,62;51,13;75,13;62,04;;;;;;;;;
HIF1A;88,96;32,42;17,25;50,60;75,87;56,66;;;;;;;;;
HNRPD;110,30;45,81;21,35;78,62;71,42;45,79;;;;;;;;;
PLAU;132,96;109,25;41,62;34,71;74,95;49,06;;;;;;;;;
HNRPDL;83,97;34,00;18,07;94,64;52,41;40,05;;;;;;;;;
I_959634;138,53;243,99;120,13;109,33;57,93;38,47;;;;;;;;;
LOC57018;32,45;82,23;68,66;108,85;99,72;69,75;;;;;;;;;
SMAP;54,10;79,06;88,45;150,53;100,42;80,14;;;;;;;;;
CTSL2;72,20;127,82;115,63;146,87;85,62;61,79;;;;;;;;;
C6ORF37;76,71;194,40;157,86;323,49;310,85;371,75;;;;;;;;;
GFPT2;127,88;68,92;22,15;26,57;27,86;15,26;;;;;;;;;
RAB6KIFL;75,70;54,11;32,61;46,40;28,60;14,27;;;;;;;;;
SF3B3;145,00;50,75;31,38;79,37;114,20;79,33;;;;;;;;;
NMI;95,17;92,36;126,74;241,25;152,84;121,66;;;;;;;;;
NMI;97,23;102,97;124,87;232,04;147,13;127,18;;;;;;;;;
NMI;97,42;96,26;125,11;230,60;149,04;114,92;;;;;;;;;
NFIL3;43,39;91,78;77,89;161,23;127,05;103,73;;;;;;;;;
HIF1A;86,27;29,56;17,82;52,26;72,52;61,28;;;;;;;;;
HIF1A;81,02;30,01;17,05;51,55;75,90;60,09;;;;;;;;;
RBMX;106,11;67,95;28,66;62,93;81,65;65,42;;;;;;;;;
PTD004;90,84;86,44;36,34;35,49;40,00;37,99;;;;;;;;;
CLN5;65,57;128,57;131,97;181,69;81,03;60,18;;;;;;;;;
PDCD4;90,64;107,53;134,59;234,42;150,59;188,61;;;;;;;;;
TRIP12;108,95;46,20;30,80;65,91;69,82;56,57;;;;;;;;;
RPA2;80,96;97,20;54,02;116,02;54,03;39,44;;;;;;;;;
OSAP;41,02;55,11;80,86;186,97;110,81;110,13;;;;;;;;;
TPR;71,01;65,34;35,48;101,26;72,97;56,20;;;;;;;;;
EDIL3;57,70;103,58;92,74;39,52;20,65;6,04;;;;;;;;;
I_931506;88,82;113,51;159,06;146,47;135,56;179,87;;;;;;;;;
RRAD;370,78;347,07;733,60;487,64;1196,61;949,42;;;;;;;;;
IL1B;164,62;164,95;53,26;94,34;340,90;416,99;;;;;;;;;
KTN1;58,39;80,81;26,02;42,71;47,69;33,17;;;;;;;;;
SNFT;115,24;155,10;89,60;48,74;63,87;40,73;;;;;;;;;
HUMGT198A;90,72;152,46;91,25;103,10;52,57;35,71;;;;;;;;;
HSPA5;280,73;136,40;169,99;192,56;102,09;98,87;;;;;;;;;
FLJ20989;104,44;137,22;133,57;134,97;71,70;51,97;;;;;;;;;
PTPRK;121,89;45,47;15,16;11,80;27,52;10,11;;;;;;;;;
MEST;56,18;42,65;21,30;47,19;23,71;14,65;;;;;;;;;
MAP1A;178,80;83,17;136,57;249,92;238,02;220,54;;;;;;;;;
KIAA0438;80,40;42,06;44,70;116,61;89,85;80,60;;;;;;;;;
DIAPH3;108,28;73,21;67,44;31,72;57,30;65,66;;;;;;;;;
UHRF1;72,01;54,93;23,13;48,79;28,19;10,35;;;;;;;;;
KEO4;91,41;97,34;54,75;72,82;44,00;25,91;;;;;;;;;
UQCR;41,32;118,33;105,72;132,94;92,12;106,89;;;;;;;;;
I_1221686;87,51;26,07;35,24;68,48;64,62;42,83;;;;;;;;;
BRE;194,63;121,36;76,40;27,26;48,29;40,05;;;;;;;;;
FLJ20701;135,03;64,13;47,24;51,86;65,53;51,79;;;;;;;;;
APG12L;67,55;124,25;100,69;102,45;63,73;51,46;;;;;;;;;
FDXR;254,40;304,50;610,54;543,22;890,31;842,84;;;;;;;;;
DKFZp547A023;43,55;25,28;58,91;132,67;134,78;113,67;;;;;;;;;
FLJ20311;62,23;68,38;21,12;33,69;23,62;11,21;;;;;;;;;
ACTN1;159,80;74,49;57,48;46,74;76,06;87,43;;;;;;;;;
BAZ1B;96,93;49,69;38,59;76,95;65,87;50,73;;;;;;;;;
MSH6;84,72;77,19;57,09;132,49;65,61;43,47;;;;;;;;;
EIF4A2;56,56;91,36;62,71;211,49;152,65;132,12;;;;;;;;;
GBF1;157,87;51,42;38,80;81,47;110,31;114,22;;;;;;;;;
CDKN1A;310,63;581,62;559,17;487,34;1269,75;1011,25;;;;;;;;;
FLJ23251;78,94;113,06;80,66;160,54;99,93;94,24;;;;;;;;;
HIF1A;86,10;31,54;16,81;51,37;74,99;60,01;;;;;;;;;
HIF1A;89,10;32,33;17,78;50,07;73,22;56,94;;;;;;;;;
ATP6IP2;59,88;105,14;124,33;143,64;111,15;124,57;;;;;;;;;
KYNU;93,31;102,29;30,83;30,38;42,80;40,06;;;;;;;;;
PEX3;45,30;46,12;37,84;115,20;68,57;50,43;;;;;;;;;
EIF4G3;106,14;83,86;49,03;34,42;36,16;36,20;;;;;;;;;
FLJ22419;123,63;83,46;58,46;21,42;30,14;17,81;;;;;;;;;
IFRD1;28,35;83,50;68,68;120,53;76,21;71,11;;;;;;;;;
DTYMK;68,42;115,40;62,23;52,00;34,81;19,97;;;;;;;;;
H2BFF;137,92;135,69;140,53;54,77;103,06;176,31;;;;;;;;;
MGC14288;79,26;111,71;83,56;152,85;161,78;199,64;;;;;;;;;
TFDP1;71,32;68,43;37,23;56,50;41,37;27,75;;;;;;;;;
MGC5576;66,99;117,68;68,98;79,88;44,69;30,01;;;;;;;;;
BM039;68,66;112,00;70,48;77,21;48,04;27,01;;;;;;;;;
XPO1;74,07;36,53;28,37;73,44;54,34;34,26;;;;;;;;;
ZWINT;50,13;81,08;32,99;64,85;31,70;10,09;;;;;;;;;
TSPAN-5;65,47;22,79;16,13;41,43;36,40;22,40;;;;;;;;;
MBC3205;128,83;117,68;126,15;124,85;185,93;195,89;;;;;;;;;
PRSS7;81,36;102,81;62,59;26,79;15,19;9,77;;;;;;;;;
TMSNB;37,91;130,59;84,42;97,64;39,59;20,85;;;;;;;;;
H2AFD;132,39;140,27;151,35;117,51;121,82;351,18;;;;;;;;;
ADAM9;38,02;88,34;67,26;55,94;33,33;19,25;;;;;;;;;
PHGDH;132,97;131,72;197,18;93,04;54,41;41,52;;;;;;;;;
I_957839;75,68;29,57;15,78;30,41;25,69;20,27;;;;;;;;;
TFRC;72,49;94,61;64,70;85,27;48,28;31,65;;;;;;;;;
LOXL2;76,93;56,62;46,79;36,78;17,77;12,77;;;;;;;;;
I_930405;72,53;76,99;103,72;220,44;111,61;91,91;;;;;;;;;
H2BFC;134,88;125,13;131,84;77,82;131,80;169,88;;;;;;;;;
COG5;95,79;89,59;30,06;26,39;45,60;29,44;;;;;;;;;
TOP2A;55,79;25,40;16,96;27,99;18,76;7,60;;;;;;;;;
STK39;85,55;51,35;16,81;23,22;33,19;17,55;;;;;;;;;
R3HDM;118,97;95,45;48,92;39,79;56,31;41,19;;;;;;;;;
HIF1A;91,48;33,70;19,18;50,03;84,67;63,20;;;;;;;;;
CADPS;82,47;73,47;53,88;36,94;46,92;34,17;;;;;;;;;
TUBB-5;78,09;59,25;29,21;33,54;31,87;26,90;;;;;;;;;
TBL1X;183,80;61,09;25,72;27,52;46,88;39,70;;;;;;;;;
NMI;100,80;96,67;127,85;238,50;154,35;129,15;;;;;;;;;
H2AFZ;77,83;135,19;84,74;60,23;35,72;25,08;;;;;;;;;
PRO0659;39,28;117,26;78,84;132,29;71,40;50,03;;;;;;;;;
ACTR3;73,98;58,10;25,16;54,81;64,82;45,05;;;;;;;;;
SNX5;75,59;98,38;60,14;66,86;61,22;39,89;;;;;;;;;
TUBB;220,41;449,66;276,26;103,09;177,27;184,73;;;;;;;;;
ATP6V1G1;75,02;140,98;146,48;169,40;176,45;181,07;;;;;;;;;
LOXL2;75,62;55,83;47,96;37,20;17,96;12,32;;;;;;;;;
MAP2K1;44,39;31,18;22,61;51,66;35,15;25,11;;;;;;;;;
LOXL2;79,60;58,46;52,14;37,13;20,18;12,80;;;;;;;;;
RAB6KIFL;75,64;51,57;33,13;47,95;27,88;13,77;;;;;;;;;
CHAF1B;89,09;78,65;67,19;114,89;71,89;43,13;;;;;;;;;
MCM2;118,66;98,01;71,38;99,90;55,59;32,90;;;;;;;;;
MGC3200;98,21;117,56;110,05;166,61;163,26;159,62;;;;;;;;;
ACP1;46,84;101,68;56,07;93,94;42,39;24,36;;;;;;;;;
DUSP6;75,36;115,20;19,13;68,26;103,14;104,37;;;;;;;;;
TNFRSF1A;88,33;62,09;84,60;124,15;127,97;113,07;;;;;;;;;
PXMP2;71,49;121,52;94,65;81,54;42,38;32,33;;;;;;;;;
RSU1;101,20;100,04;75,01;35,05;48,63;39,92;;;;;;;;;
I_963888;114,91;34,11;25,65;44,70;55,45;47,27;;;;;;;;;
SEC8;124,69;94,29;53,18;18,76;32,54;18,45;;;;;;;;;
I_955704;61,28;56,11;29,35;78,99;47,55;48,39;;;;;;;;;
SEDL;56,20;147,44;131,87;190,21;84,46;67,87;;;;;;;;;
LOC90701;100,30;139,67;154,88;146,40;171,82;181,60;;;;;;;;;
NCOA6;88,11;32,74;48,19;72,92;66,92;60,52;;;;;;;;;
ARG99;80,17;103,95;76,15;41,03;54,60;32,92;;;;;;;;;
CBR3;105,74;226,80;158,77;119,95;78,26;81,88;;;;;;;;;
RFC5;88,42;134,86;77,61;78,35;56,84;34,93;;;;;;;;;
TUBB2;148,01;106,03;61,37;34,21;32,62;37,50;;;;;;;;;
PRKDC;116,08;78,55;42,50;34,30;36,38;32,02;;;;;;;;;
POT1;53,39;39,39;23,25;73,14;54,54;30,77;;;;;;;;;
SPP1;85,48;149,21;147,89;119,65;160,19;185,51;;;;;;;;;
OA48-18;13,25;46,98;38,63;86,95;54,35;37,73;;;;;;;;;
BAL;81,17;102,81;143,80;241,24;112,49;149,60;;;;;;;;;
STMN1;81,66;120,52;74,80;57,27;40,09;20,32;;;;;;;;;
BAALC;83,12;110,88;50,89;37,52;47,53;38,71;;;;;;;;;
HIS1;153,29;960,81;345,66;280,14;266,29;240,75;;;;;;;;;
STK24;132,20;36,13;28,37;58,04;68,13;53,51;;;;;;;;;
FBXO5;27,99;113,69;44,89;81,00;42,59;10,99;;;;;;;;;
UBE3A;96,93;41,59;36,21;71,39;73,07;58,02;;;;;;;;;
RBM5;49,29;70,70;84,04;162,45;115,91;71,90;;;;;;;;;
CSE1L;81,89;79,70;30,08;74,98;95,06;78,54;;;;;;;;;
PPIF;229,73;413,67;234,10;119,38;172,27;110,72;;;;;;;;;
LRPPRC;103,96;71,64;35,40;65,82;88,24;82,05;;;;;;;;;
DKFZp761K1423;45,55;4,39;6,22;14,20;17,13;5,22;;;;;;;;;
SVIL;101,20;33,47;21,41;29,18;41,28;31,43;;;;;;;;;
I_1151835;171,77;120,94;114,77;56,88;67,27;62,02;;;;;;;;;
IL8;148,39;244,86;71,05;138,34;379,04;273,76;;;;;;;;;
SMTN;122,14;76,66;93,93;61,31;90,46;68,53;;;;;;;;;
H1F2;134,68;117,20;166,62;53,80;177,85;332,23;;;;;;;;;
DDX39;118,10;92,07;43,03;51,53;40,60;33,33;;;;;;;;;
I_933069;86,04;48,66;38,55;101,11;89,26;79,73;;;;;;;;;
I_931541;92,34;259,76;236,19;219,87;166,70;142,16;;;;;;;;;
FLJ10604;100,61;149,91;102,84;86,28;53,47;43,43;;;;;;;;;
SPAG1;70,39;82,38;70,26;166,75;98,64;100,06;;;;;;;;;
C20orf1;96,72;29,36;30,58;37,27;29,79;18,88;;;;;;;;;
BUB1;59,52;31,31;17,90;29,68;23,92;7,38;;;;;;;;;
FLJ14753;62,49;55,15;22,36;54,80;46,73;36,84;;;;;;;;;
PTX3;116,59;165,14;53,08;78,58;186,78;152,25;;;;;;;;;
TYMS;76,04;94,44;52,78;75,95;47,77;31,98;;;;;;;;;
C20orf52;57,12;105,24;102,69;147,44;115,69;188,36;;;;;;;;;
NMI;99,41;95,95;129,29;240,30;145,39;119,78;;;;;;;;;
CHAF1B;90,61;82,62;66,50;113,02;72,82;41,12;;;;;;;;;
MRPL32;66,26;238,14;117,91;145,11;120,58;114,96;;;;;;;;;
TNC;112,66;81,19;70,46;44,94;34,07;34,38;;;;;;;;;
RRS1;156,09;315,69;144,15;100,36;157,05;139,05;;;;;;;;;
RAB6KIFL;77,69;49,54;39,41;45,50;30,28;14,33;;;;;;;;;
FN1;88,82;65,93;56,70;40,27;25,47;16,68;;;;;;;;;
ANXA8;146,72;118,45;120,76;167,32;505,04;472,60;;;;;;;;;
LOXL2;78,50;57,62;49,32;37,56;17,69;12,39;;;;;;;;;
I_957301;42,42;119,41;64,48;91,78;55,44;31,15;;;;;;;;;
ERBB2IP;65,46;16,27;19,20;57,03;63,63;37,83;;;;;;;;;
SC5DL;78,81;139,29;135,73;178,61;104,34;86,64;;;;;;;;;
MPP4;64,99;76,83;28,57;23,43;39,36;22,13;;;;;;;;;
PIG3;240,38;144,12;429,99;919,49;611,54;1369,99;;;;;;;;;
H2BFG;137,32;131,30;145,55;64,54;134,48;194,63;;;;;;;;;
KPNB3;140,53;100,07;57,01;64,72;100,17;80,92;;;;;;;;;
LOC56898;72,50;121,31;118,73;200,51;136,02;138,41;;;;;;;;;
I_966819;102,77;51,04;17,78;29,22;35,99;24,79;;;;;;;;;
DDR2;123,99;74,45;44,60;46,41;56,35;50,95;;;;;;;;;
MIG-6;22,16;39,95;15,49;59,57;48,75;27,64;;;;;;;;;
LRP8;78,63;82,50;52,51;46,04;49,03;21,95;;;;;;;;;
FLJ10335;45,40;56,41;29,97;87,53;44,00;28,31;;;;;;;;;
LOXL2;77,13;56,98;47,80;37,37;18,49;12,12;;;;;;;;;
MYC;160,38;76,86;35,03;54,56;85,72;67,16;;;;;;;;;
PNN;72,75;153,19;95,04;96,04;67,37;40,05;;;;;;;;;
PHKB;102,47;101,68;72,76;40,87;56,49;55,95;;;;;;;;;
SAP30;36,01;30,04;30,79;83,28;49,15;30,03;;;;;;;;;
MAGEF1;85,72;114,97;122,42;189,56;159,97;151,61;;;;;;;;;
PRC1;61,56;56,11;24,27;37,14;19,84;7,35;;;;;;;;;
GOLGA4;101,74;44,56;28,86;59,61;65,48;36,63;;;;;;;;;
MAST205;141,75;87,54;80,13;48,03;83,88;82,18;;;;;;;;;
