gene 2h 6h 16h 24h 48h 72h
LOC85028 33.6640162906 224.864142649 104.933678522 196.823768568 110.577118386 73.6416283113
ADK 77.9486373526 97.1801439103 43.8822760402 19.4820590989 15.1056264096 11.3466875369
H2BFB 126.109542051 103.670436269 101.373106832 44.9252898223 106.830906619 245.550872708
RAB6KIFL 73.4032444381 51.2443216327 35.0796530692 46.8037989271 28.9281668082 14.046483472
ADK 74.9655792777 91.7676343874 53.7275841454 21.1775332833 24.921695745 21.5779033788
NMI 101.449831015 98.9180127105 121.623283413 243.502632445 144.036383344 131.323016935
UBE2C 96.2759479343 78.1783979501 40.4077778918 34.4460033771 21.8029852429 8.85008849816
UBE2C 97.4491081383 76.3817496097 40.6789855523 34.7579887017 21.7830449068 9.2996625024
UBE2C 99.0455957166 79.0116731345 40.5642314286 33.8966796695 21.3625482274 9.48513495007
UBE2C 96.2479646804 76.9012204196 40.8789910183 34.080202996 21.8603508652 9.00124495209
UBE2C 97.6296656939 76.6872479419 40.2867753094 34.4567065689 21.3684501429 9.02663769579
UBE2C 99.3184193943 80.1032713834 39.8337277912 34.0615643855 22.9948048315 9.41867479148
UBE2C 93.0842255272 78.1575034611 40.4018726393 34.4306633113 21.3965138722 8.85637012103
GABARAPL3 83.7102931002 126.082774298 164.263563835 394.983422094 145.538879945 108.833682304
MCM6 77.3489675555 73.8660668215 33.6376591308 87.7258130611 33.0809021517 17.4718616788
MGLL 149.914278656 92.3269005027 45.6252997098 23.0064196941 27.0791594729 24.9190603114
MGC4308 131.118764641 126.697987539 49.0782058659 14.787601611 23.2204112066 17.6702950791
MACMARCKS 109.335906224 439.06023873 410.247387918 219.579000441 76.3297991384 63.7959073075
BIRC5 75.6755337642 89.1485768962 46.3069916818 35.4736220518 17.8260343483 8.06984655666
ID1 129.33878545 103.609807345 15.5446014411 179.068040794 42.8437246386 26.0502565908
FOS 818.74431833 244.819899123 131.575634957 104.446270464 93.2007730877 74.0256505387
H2AFO 146.341084958 185.627606019 195.635873813 200.595767373 323.558751895 725.924142202
H2BFR 154.683601049 134.234129549 112.436627943 56.582344052 136.343073563 216.016065473
FBN1 57.208803881 31.7041216671 12.6099608267 11.0296807854 7.67384925946 4.16988827247
H2BFE 128.222019101 105.095680221 117.103005198 49.4747632939 102.784767015 231.339822376
LTBP1 129.978958765 84.8281781094 53.951832706 19.1590764533 15.591901459 10.1677395011
CTGF 836.013411787 141.671786541 54.5782221258 102.48000861 118.7597619 117.805499508
CCNB1 101.775592053 56.795641476 34.9306382766 32.9961901769 20.9727006641 13.579714502
NMI 102.897836296 95.0339843129 132.783194429 233.135034245 143.676776742 123.473949884
UBE2C 99.5545210932 79.6993377216 40.4882123459 34.4038636066 21.6255842632 8.94244677734
UBE2C 95.2300415973 75.1205078794 40.1408643894 34.5761323078 21.8166516419 9.2563467425
UBE2C 101.465006501 79.3881612612 42.2973370407 34.1272238194 23.1505192403 9.59578504876
