OTU_id;#OTU ID;0;1;2;3;4;5;6;7;8;9
OTU1;"k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera";0;0;0;0;0;0;0;0;0;0
OTU2;"k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__;f__;g__";0;0;0;0;0;0;0;0;0;0
OTU3;"k__Bacteria;p__Actinobacteria;c__;o__;f__;g__";0;0;0;0;0;0;0;0;0;0
OTU4;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Acidimicrobiales;f__;g__";0;0;0;0;0;0;0;0;0;0
OTU5;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__;g__";0;0;0;0;0;0;0;0;0;0
OTU6;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__;g__Tropheryma";0;0;0;0;0;0;0;0;0;0
OTU7;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__";0;0;0;1;0;0;0;0;0;0
OTU8;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum";0;0;0;0;0;0;0;0;0;0
OTU9;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces";358;138;218;159;162;267;90;176;82;56
OTU10;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium";0;0;0;0;0;0;0;0;0;0
OTU11;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus";0;0;0;0;0;0;0;0;0;0
OTU12;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum";0;0;0;0;0;0;0;0;0;0
OTU13;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinosynnemataceae;g__Saccharothrix";0;0;0;0;0;0;0;0;0;0
OTU14;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Beutenbergiaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU15;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Bogoriellaceae;g__Georgenia";0;0;0;0;0;0;0;0;0;0
OTU16;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium";0;0;0;0;0;0;0;0;0;0
OTU17;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea";0;0;0;0;0;0;0;0;0;0
OTU18;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas";0;0;0;0;0;0;0;0;0;0
OTU19;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU20;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium";2;1;7;4;0;33;7;12;13;6
OTU21;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Dermabacteraceae;g__";0;0;0;0;0;0;0;0;0;0
OTU22;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium";0;0;0;0;0;0;0;0;0;0
OTU23;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter";0;0;0;0;0;0;0;0;0;0
OTU24;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus";0;0;0;0;0;0;0;0;0;0
OTU25;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Dermatophilaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU26;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Dermatophilaceae;g__Dermatophilus";0;0;0;0;0;0;0;0;0;0
OTU27;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Geodermatophilaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU28;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Geodermatophilaceae;g__Blastococcus";0;0;0;0;0;0;0;0;0;0
OTU29;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus";0;0;0;0;0;0;0;0;0;0
OTU30;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Geodermatophilaceae;g__Modestobacter";0;0;0;0;0;0;0;0;0;0
OTU31;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Intrasporangiaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU32;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Intrasporangiaceae;g__Knoellia";0;0;0;0;0;0;0;0;0;0
OTU33;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Intrasporangiaceae;g__Phycicoccus";0;0;0;0;0;0;0;0;0;0
OTU34;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Intrasporangiaceae;g__Serinicoccus";0;0;0;0;0;0;0;0;0;0
OTU35;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Intrasporangiaceae;g__Terracoccus";0;0;0;0;0;0;0;0;0;0
OTU36;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Microbacteriaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU37;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium";0;0;0;0;0;0;0;0;0;0
OTU38;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium";0;0;0;0;0;0;0;0;0;0
OTU39;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU40;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter";0;0;1;0;0;0;0;0;0;0
OTU41;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Citricoccus";0;0;0;0;0;0;0;0;0;0
OTU42;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Kocuria";0;0;0;0;0;0;0;0;0;0
OTU43;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia";0;0;0;0;0;0;0;2;0;0
OTU44;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Renibacterium";0;0;0;0;0;0;0;0;0;0
OTU45;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Rothia";110;79;205;1219;532;148;273;745;448;144
OTU46;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Zhihengliuella";0;0;0;0;0;0;0;0;0;0
OTU47;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium";0;0;0;0;0;0;0;0;0;0
OTU48;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Nakamurellaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU49;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus";0;0;0;0;0;0;0;0;0;0
OTU50;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Nocardioidaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU51;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Nocardioidaceae;g__Aeromicrobium";0;0;0;0;0;0;0;0;0;0
OTU52;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides";0;0;0;0;0;0;0;0;0;0
OTU53;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Nocardiopsaceae;g__";0;0;0;0;0;0;0;0;1;0
OTU54;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Nocardiopsaceae;g__Nocardiopsis";0;0;0;0;0;0;0;0;0;0
OTU55;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Promicromonosporaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU56;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium";0;0;0;0;0;0;0;0;0;0
OTU57;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces";0;0;0;0;0;0;0;0;0;0
OTU58;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Thermomonosporaceae;g__Actinomadura";0;0;0;0;0;0;0;0;0;0
OTU59;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Thermomonosporaceae;g__Thermomonospora";0;0;0;0;0;0;0;0;0;0
OTU60;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Tsukamurellaceae;g__Tsukamurella";0;0;0;0;0;0;0;0;0;0
OTU61;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia";0;0;0;0;0;0;0;0;0;0
OTU62;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium";0;1;0;0;0;0;0;0;0;0
OTU63;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia";0;0;1;1;0;0;1;0;0;0
OTU64;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Coriobacteriales;f__Coriobacteriaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU65;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium";2;2;1;3;3;10;4;5;8;14
OTU66;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella";0;0;0;0;0;0;0;0;0;0
OTU67;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia";0;0;0;0;0;0;0;0;0;0
OTU68;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__MC47;f__;g__";0;0;0;0;0;0;0;0;0;0
OTU69;"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Solirubrobacterales;f__Solirubrobacteraceae;g__";0;0;0;0;0;0;0;0;0;0
OTU70;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__";0;0;0;0;0;0;0;0;0;0
OTU71;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides";0;0;0;0;0;0;0;0;0;0
OTU72;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__";1;1;5;0;0;1;1;0;0;2
OTU73;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Paludibacter";0;0;0;0;0;0;0;0;0;0
OTU74;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides";0;0;0;0;1;0;0;0;0;0
OTU75;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas";13;24;38;79;528;519;599;1032;1181;722
OTU76;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella";7;3;4;0;0;4;0;1;0;3
OTU77;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU78;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella";4029;3824;2197;1842;1794;3241;2483;517;2631;2031
OTU79;"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes";0;0;0;0;0;0;0;0;0;0
OTU80;"k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__;f__;g__";0;0;0;0;0;0;0;0;0;0
