OTU col0 col1 col2 col3 col4 col5 col6 col7 col8
OTU0 41 1 38 52 4 11 88 70 1
OTU1 67 71 29 37 90 47 5 73 42
OTU2 78 0 12 20 100 18 96 49 74
OTU3 83 34 44 86 6 100 88 14 50
OTU4 52 2 6 73 97 29 53 23 42
OTU5 4 99 99 99 43 11 62 65 62
OTU6 7 32 45 51 70 18 18 7 50
OTU7 24 86 27 85 47 39 41 91 39
OTU8 25 61 73 86 0 90 59 88 67
OTU9 88 11 39 76 4 41 96 12 98
OTU10 100 90 16 75 24 12 5 57 3
OTU11 60 16 92 71 64 75 42 51 65
OTU12 22 19 52 87 82 46 17 62 34
OTU13 52 14 75 15 5 77 81 78 67
OTU14 51 80 69 3 47 76 93 97 92
OTU15 75 63 21 46 49 88 29 42 8
OTU16 75 92 19 100 36 90 33 70 30
OTU17 62 73 19 30 6 99 31 71 65
OTU18 88 66 74 56 78 84 16 23 3
OTU19 0 55 89 18 5 69 75 84 48
OTU20 68 54 21 22 98 45 84 9 86
OTU21 42 56 74 5 13 86 82 43 23
OTU22 61 40 68 42 42 59 85 65 21
OTU23 51 35 51 79 77 41 16 92 10
OTU24 7 75 27 99 79 13 100 81 69
OTU25 98 77 22 97 39 89 19 18 18
OTU26 51 71 31 85 84 1 66 60 76
OTU27 88 6 31 38 42 5 37 61 98
OTU28 72 63 86 52 69 93 6 93 3
OTU29 35 5 90 48 74 12 10 21 97
OTU30 4 51 12 20 62 87 28 99 73
OTU31 14 71 88 21 61 46 7 54 90
OTU32 50 24 59 82 16 50 66 82 32
OTU33 37 42 68 76 29 62 81 32 55
OTU34 48 4 45 86 46 86 50 88 8
OTU35 69 39 76 47 58 29 6 33 30
OTU36 15 84 1 38 54 42 99 97 100
OTU37 28 96 3 47 31 97 7 99 43
OTU38 75 24 81 52 83 99 77 16 14
OTU39 4 54 66 53 82 8 4 42 27
OTU40 44 74 23 14 43 96 46 24 29
OTU41 11 31 99 99 45 89 85 98 33
OTU42 8 9 11 31 57 79 14 98 87
OTU43 4 91 21 49 42 59 19 96 71
OTU44 80 100 32 82 27 7 67 78 29
OTU45 55 99 79 72 16 51 76 49 8
OTU46 7 60 79 18 74 97 3 43 81
OTU47 49 98 17 83 86 0 24 67 97
OTU48 99 46 51 70 14 76 9 93 62
OTU49 34 2 43 93 79 78 42 35 71
OTU50 68 46 61 90 79 60 64 59 72
OTU51 95 67 41 57 72 98 11 50 32
OTU52 84 60 45 79 71 66 24 11 72
OTU53 17 30 72 74 71 63 37 76 3
OTU54 14 6 28 31 75 43 82 69 8
OTU55 43 1 37 71 44 91 48 59 57
OTU56 82 69 38 70 53 22 14 12 22
OTU57 97 72 1 22 73 4 19 49 76
OTU58 11 36 98 98 66 16 88 15 28
OTU59 98 100 47 55 26 16 11 46 80
OTU60 0 51 87 39 99 52 57 17 50
OTU61 97 49 7 48 72 8 9 35 90
OTU62 92 66 68 22 79 34 38 33 47
OTU63 28 16 4 19 91 74 50 76 99
OTU64 45 49 26 53 80 80 18 25 53
OTU65 91 97 19 45 28 99 63 33 42
OTU66 72 97 49 73 80 10 20 71 3
OTU67 72 33 12 6 23 71 48 47 35
OTU68 53 10 66 77 82 79 71 17 47
OTU69 31 75 76 34 34 62 11 31 97
OTU70 32 52 55 83 2 4 94 34 28
OTU71 22 26 98 9 51 46 69 15 80
OTU72 38 25 62 56 92 60 72 23 17
OTU73 47 20 68 53 29 81 93 58 59
OTU74 1 74 100 36 23 85 26 56 62
OTU75 58 62 36 78 91 57 79 41 67
OTU76 8 79 2 55 70 78 72 76 82
OTU77 45 74 19 58 5 8 79 44 82
OTU78 27 10 6 81 37 28 26 3 50
OTU79 24 21 60 9 59 61 51 95 10
OTU80 71 15 78 9 12 99 24 63 74
OTU81 29 62 51 35 69 54 35 20 66
OTU82 4 12 92 72 68 23 73 72 71
OTU83 53 23 46 61 82 84 61 48 73
OTU84 60 61 84 53 32 28 42 73 62
OTU85 88 0 15 88 32 57 87 8 29
OTU86 13 71 89 7 73 75 17 4 73
OTU87 50 3 50 26 14 74 68 78 43
OTU88 4 96 42 59 59 63 27 38 26
OTU89 65 63 83 28 49 28 72 61 80
OTU90 9 41 71 74 62 37 7 99 12
OTU91 67 94 9 16 31 39 2 35 42
OTU92 52 98 16 84 76 9 34 15 71
OTU93 21 31 32 9 9 4 67 9 93
OTU94 26 74 30 30 20 11 66 30 89
OTU95 58 92 51 87 55 97 92 83 95
OTU96 64 5 6 54 62 96 85 69 61
OTU97 90 60 42 34 63 55 34 61 28
OTU98 1 80 39 75 89 12 84 15 38
OTU99 31 83 0 66 44 26 26 71 41
