gene	domain
ABCD1	pfam06472
ABCE1	pfam00037
ABCE1	pfam04068
ABCE1	pfam00037
ABCE1	pfam04068
ACP1	pfam01451
ACTN1	pfam00307
ACTN1	pfam00435
ACTN1	pfam08726
ACTN1	pfam13499
ACTN1	pfam00307
ACTN1	pfam00435
ACTN1	pfam08726
ACTN1	pfam13499
ACTN1	pfam00307
ACTN1	pfam00435
ACTN1	pfam08726
ACTN1	pfam13499
ACTN1	pfam00435
ACTN1	pfam08726
ACTN1	pfam13499
ACTN1	pfam00435
ACTN1	pfam08726
ACTN1	pfam13499
ACTN1	pfam00435
ACTN1	pfam08726
ACTN1	pfam13499
ACTN1	pfam00435
ACTN1	pfam08726
ACTN1	pfam13499
ACTN4	pfam00307
ACTN4	pfam08726
ACTN4	pfam13499
ACTN4	pfam00307
ACTN4	pfam08726
ACTN4	pfam13499
ACTN4	pfam00307
ACTN4	pfam08726
ACTN4	pfam13499
ACTN4	pfam00307
ACTN4	pfam08726
ACTN4	pfam13499
ACTN4	pfam00307
ACTN4	pfam08726
ACTN4	pfam13499
ACVR1	pfam01064
ACVR1	pfam08515
ACVR1	pfam01064
ACVR1	pfam08515
ACVR1	pfam01064
ACVR1	pfam08515
ACVR1	pfam01064
ACVR1	pfam08515
ACVR1	pfam01064
ACVR1	pfam08515
ACVR1	pfam01064
ACVR1	pfam08515
ACVR1	pfam01064
ACVR1	pfam08515
ACVR1	pfam01064
ACVR1	pfam08515
ACYP1	pfam00708
ACYP1	pfam00708
ACYP1	pfam00708
AD024	pfam08234
AD024	pfam08234
AD24	pfam03914
AD24	pfam07540
ADAM12	pfam01421
ADAM12	pfam01562
ADAM12	pfam01421
ADAM12	pfam01562
ADAM12	pfam01421
ADAM12	pfam01562
ADAM12	pfam01421
ADAM12	pfam01562
ADAM12	pfam01421
ADAM12	pfam01562
ADAM9	pfam00200
ADAM9	pfam01421
ADAM9	pfam01562
ADAM9	pfam00200
ADAM9	pfam01421
ADAM9	pfam01562
ADAMDEC1	pfam01421
ADAMDEC1	pfam01562
ADAMDEC1	pfam01421
ADAMDEC1	pfam01562
ADAMDEC1	pfam01421
ADAMDEC1	pfam01562
ADAMTS1	pfam01421
ADAMTS1	pfam01562
ADAMTS1	pfam05986
ADCY3	pfam00211
